round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,loglin_converged
5,Curve10616,0.4767937993086876,7.898316647388226e-06,1.2849774408847163,2.0111320326456537,-554.7837764850007,0.0008718158468197,93,True,0.3823369571608348,0.005693279512393777,0.39122546235760275,28.5,32.0,1.8129222602678303,0.9986713631293744,True
5,Curve10041,0.3349261474167047,0.0001029586321892,1.214745389081457,6.043413718260183,-489.3201278446044,0.0018260584004614,92,True,0.33247906287958096,0.00867820470892699,0.3464135390283691,31.0,34.5,2.0847844509565197,0.9959289094069921,True
5,Curve10371,0.4524965255803388,0.0002680231913523,1.2444057074643329,2.2429593022013496,-360.1959311609104,0.0015334769974632,94,True,0.39160803685924217,0.00737551606948211,0.40812270192552624,21.5,25.5,1.7700024394777347,0.997523133205345,True
5,Curve11437,0.4255272145485044,5.960393602890912e-05,1.2176581725070978,3.69036149983665,-395.31119186336247,0.0021854639269068,89,True,0.40394172829249075,0.005582766174081519,0.41205593997815654,26.0,29.5,1.715958347482346,0.9988552379069474,True
5,Curve10864,0.3806219084158772,8.753818252860229e-05,1.3549450501243356,2.235668975112951,-458.5864411640959,0.0019640497238001,88,True,0.34372941883603586,0.004660031688929012,0.3512508420768413,28.0,31.5,2.016548897406384,0.998898417804357,True
5,Curve10297,0.370208870882965,8.321186530334373e-05,1.2116704672919991,2.9980557900355898,-515.1364191044131,0.0011082706966492,90,True,0.32352704220429335,0.002443686660593807,0.32635905704639695,29.0,32.5,2.142470613390805,0.9996578059343879,True
5,Curve09794,0.5807782212193864,0.0002125590253119,1.3130068908181032,1.2471726835851111,-374.2927660325768,0.0006255573321118,96,True,0.3911608641543923,0.008595760706059847,0.41221818268245747,19.0,23.0,1.772025895428941,0.9966310830283284,True
5,Curve09294,0.4204950935143691,2.1507786482175903e-05,1.2401322586883854,2.0330935824308,-534.5487566425998,0.000584682157731,96,True,0.34135093050321913,0.0054840957990836,0.35503246408093847,29.0,33.0,2.030599944573488,0.9981964758773306,True
5,Curve08963,0.4236863094022862,0.0001093571577291,1.245644583959855,1.9694865977846367,-400.8889792466525,0.0018248726918061,90,True,0.3903637699466588,0.008795949818116084,0.40368177981569764,25.0,28.5,1.775644242432284,0.996962916490921,True
5,Curve11028,0.3397828262015844,0.0001540506099865,1.2961595781687572,34.840872002902664,-418.303147981792,0.0044866614667507,92,True,0.37115019380650915,0.008458653521199738,0.3880816308122762,29.0,32.5,1.867565185541307,0.9968932736231597,True
5,Curve09867,1.4245159372539942,2.944654200390353e-05,0.0992075115447814,1.3958202707893044,-854.4061240366107,1.5616655853129077e-05,91,True,0.011440592381032219,0.00019895167360282323,0.011752312644212917,28.0,31.5,60.58665123924349,0.9981888178898095,True
5,Curve11191,0.4313008209290423,3.462466013130651e-05,1.2917868627039186,2.294099302954807,-525.507642806885,0.0010588992697794,91,True,0.36063875729727934,0.004667950164635347,0.3678313693081896,27.5,31.0,1.9219985831655215,0.9989957946370958,True
5,Curve09461,0.4887837398234148,0.0002367233076576,1.2766300412527545,4.484988594569535,-291.4285256877023,0.0038176476439152,87,True,0.42063595936590226,0.011990914145709955,0.4446846641875024,20.5,24.0,1.6478552656431147,0.9951478896448919,True
