round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged
1,Curve01486,0.209544577205783,0.2434861120558176,0.3205758347057655,3.468027943552773,-324.6607405033231,3.9155542782925465e-5,46,true
1,Curve01897,0.2453025850711037,0.2807136864861845,0.3431496675012455,2.86476134939319,-374.2353341907685,1.7037004422815768e-5,48,true
1,Curve02470,0.26364102585508004,0.243230975658002,0.33420266256052505,2.9349783888374383,-305.7994766448409,3.717094621452214e-5,44,true
1,Curve00418,0.25731887164816997,0.30061044017692773,0.3442784002923687,3.147743371704012,-218.8082250798549,4.473833297818125e-5,36,true
1,Curve01159,0.23458344415207996,0.361620686349205,0.3315385740563327,3.2096630607885634,-289.65566680802635,3.186687359241273e-5,42,true
1,Curve01978,0.2145606752789534,0.4121326819513182,0.3224932988709433,3.2661183975385404,-387.2743068565204,1.1738166573537773e-5,48,true
1,Curve02142,0.2878016574488575,0.20406167444688555,0.34733200743328574,2.5526445126678077,-314.8416639458282,2.776688098622927e-5,44,true
1,Curve01406,0.3331486175600179,0.18168754540653295,0.41297757389129397,1.9114948473097537,-350.9082032117222,3.317767353134992e-5,48,true
1,Curve00336,0.2236269376675049,0.3674022619987814,0.34084364762596003,3.4218469974167314,-225.40794595323555,3.357851101887184e-5,36,true
1,Curve02223,0.2727591038983101,0.21403485673379674,0.34213429780069926,2.7410620613319647,-316.50689964566277,2.631467315975702e-5,44,true
1,Curve01813,0.2422680600191075,0.24626803538387296,0.3358108792058,3.323333724882406,-259.7800204430487,2.9990911539415593e-5,91,true
1,Curve02306,0.30647086395486506,0.16832456828066972,0.3537219830232611,2.183599437347169,-326.53464328301874,1.3210638454676375e-5,43,true
1,Curve02551,0.2825261306816663,0.17255741133805053,0.33246179082189237,2.693952412406181,-320.75709319875324,3.212825981435805e-5,45,true
1,Curve01568,0.3155817308340708,0.18761368457536878,0.3503314617439731,2.172089964329961,-287.27297274783484,2.3870530105792084e-5,41,true
1,Curve01733,0.25912387020406275,0.3343518450149979,0.3465104775186112,2.6278727893500498,-288.5586099487403,3.309547518655001e-5,42,true
1,Curve02389,0.2604848200759324,0.22581374959937486,0.3325504999868684,2.87181696503344,-317.81111515538043,2.523054163634882e-5,44,true
1,Curve01242,0.26145272495745786,0.2823851131318372,0.3497609171409024,2.7385047829138456,-298.2885625868031,3.3870975636279515e-5,43,true
1,Curve00255,0.22525589581492197,0.27473027152963814,0.27435992491625033,3.0665929335390305,-393.74210232904136,6.934723354256476e-6,47,true
1,Curve00665,0.22400758450339664,0.08565111881356408,0.36915564802849304,2.3366732507510393,-331.1949237492308,5.827153488839705e-5,48,true
1,Curve00748,0.2425631497926432,0.29677447062054113,0.3353648921689853,3.536981590706251,-331.64573346210574,5.752579433065755e-5,48,true
1,Curve01323,0.23475121816022063,0.34826661729617314,0.3357333405723531,3.722722206788332,-325.62936438351335,6.831502335461704e-5,48,true
1,Curve00585,0.23597745488539354,0.27952890358933147,0.3142829665012551,3.5071503218974858,-344.13196519472234,4.026505479854305e-5,48,true
1,Curve00174,0.20305997393401487,0.6365334038419551,0.33700958197363184,3.7046400306674347,-321.24494498281604,3.1642167405893306e-5,45,true
1,Curve01898,0.2590970689390747,0.26177795495982425,0.3437272893918836,2.7304689533248654,-374.77203275890014,1.677774765970595e-5,48,true
1,Curve00995,0.33922456270193097,0.07435777812824672,0.3210157603754847,2.8735450104320304,-324.5296748905084,0.00011861840648248119,50,true
1,Curve02471,0.29701146434515135,0.23962650677551048,0.34741513009677744,2.385130520523313,-291.7947009566701,5.839874489455778e-5,44,true
1,Curve01979,0.23335451522751222,0.33459311097158967,0.3247527280199102,2.7224083387126523,-405.6788151035347,6.937923624698003e-6,48,true
1,Curve02059,0.23505404978042893,0.2365147951114591,0.322890580522084,3.4825432535226954,-293.1229029959476,2.827582378440973e-5,42,true
1,Curve00256,0.25995259416425076,0.2338312445380009,0.32670370360190376,3.121402196720639,-329.0798973881361,4.644973307851588e-5,47,true
1,Curve02224,0.30331303718632546,0.18168710375116243,0.35139417474581996,2.2760649638631816,-328.0144434002607,1.8154448181759696e-5,44,true
1,Curve01487,0.25548090479380686,0.1434139747079168,0.3255675844225365,2.893473472033304,-331.82659408037335,3.151283466191264e-5,46,true
1,Curve02552,0.35581491968715434,0.12407383400132319,0.3471333894248967,2.076317971428792,-309.0966665516502,4.62529082753114e-5,45,true
1,Curve01076,0.2563361678659262,0.21122000108647526,0.33317617293320484,2.8497635710832765,-302.91571747055144,2.0172572778868693e-5,42,true
1,Curve00830,0.2715974891696391,0.1781844874807192,0.3399134180146873,2.8408273810547247,-307.8084373433467,2.466115449601724e-5,43,true
1,Curve01650,0.30396623486317376,0.1569862432035683,0.3441129898408954,2.3098550759430716,-294.1273294263185,1.868733824515931e-5,41,true
1,Curve01243,0.347137688509915,0.20081457234626496,0.35833025514013817,2.16945908038311,-261.4838596166774,0.00011551286442644075,43,true
1,Curve01407,0.22801219856297109,0.3145100795421196,0.35465320154026647,3.738455574741552,-325.8566366689548,6.787285732413249e-5,48,true
1,Curve02307,0.27032793034666236,0.21638713269675397,0.335162358903893,2.795840870327999,-306.663308598041,2.562069110611367e-5,43,true
1,Curve02472,0.44504479382651546,0.15968582166656092,0.3771438759302372,2.3186584667353483,-227.09738991363093,0.0004707392972348051,44,true
1,Curve01814,0.28494199254655317,0.19609495175197225,0.3464876392950293,2.3098692622153854,-294.83836114787033,1.2103018134161557e-5,91,true
1,Curve02143,0.2715394993966804,0.1848699803531188,0.33548994131340676,2.758639212410156,-320.13055404415593,2.3411670118512448e-5,44,true
1,Curve00913,0.3529327928246379,0.14315555607144692,0.3535315365802703,2.2888022688778613,-265.37913445333254,0.0001014472957085568,43,true
1,Curve00175,0.20336416422872103,0.6101746795305272,0.32738141423720085,4.0083062680791475,-301.19776435156,4.3119260318505404e-5,44,true
1,Curve02390,0.27364446562531636,0.2065017951087232,0.33561835501959464,2.6847145986357934,-316.4959371901315,2.6323980399964414e-5,44,true
