round,label,fit_status,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,loglin_converged
3,Curve05786,fitted,0.20896236600945037,0.017570956396161134,0.2623249388669773,7.0,10.0,3.31709098531454,0.9658542810409068,6.900025629830365,0.35400000000000004,True
3,Curve05787,fitted,0.2248596689275684,0.026955719287061586,0.2951868394350064,6.5,9.5,3.082576719363672,0.9329632058707465,6.535449707269308,0.35828571428571426,True
3,Curve05788,fitted,0.19561079418211363,0.023486907470591734,0.2804101374581622,6.5,9.5,3.5435016940559287,0.9327631403380496,6.548803754578654,0.35342857142857137,True
3,Curve05789,fitted,0.19304557325448252,0.015978187083252222,0.2570947615748473,6.5,9.5,3.5905883200243256,0.9668809170849969,6.431970548218679,0.34728571428571425,True
3,Curve05790,fitted,0.22444577993679501,0.014226913035125554,0.26280720383069817,7.0,10.0,3.0882611415333305,0.9803061690652319,6.751821088051956,0.35057142857142853,True
3,Curve05791,fitted,0.20665729594993756,0.011655614396954592,0.24759048547112755,7.0,10.0,3.354090052198589,0.9843438244338027,6.733843207214694,0.3464285714285714,True
3,Curve05792,fitted,0.2028791369173737,0.012882333464774198,0.2556698416772486,7.0,10.0,3.416552293606426,0.9802386717215147,6.757554037945788,0.35028571428571426,True
3,Curve05793,fitted,0.21686278538155682,0.011070258978523144,0.2524545803739051,7.0,10.0,3.1962477072329176,0.9871384423670694,6.644748156377415,0.34757142857142853,True
3,Curve05794,fitted,0.21139548926626153,0.01301381235076128,0.258982126984105,7.0,10.0,3.278911877286545,0.9814033301990006,6.7455974486719725,0.35242857142857137,True
3,Curve05795,fitted,0.19962316887543596,0.016426804571498355,0.2604834674198342,6.5,9.5,3.4722782153231235,0.9672513327070852,6.439602626198093,0.3461428571428571,True
3,Curve05796,fitted,0.22645977470958292,0.011725726245575397,0.2620749543687044,7.0,10.0,3.0607960351848478,0.9867723006913004,6.650038898013262,0.3531428571428571,True
