label,gr,exit_lag_rate,N_max,shape
Curve00178,0.19895550740247073,0.6215767937848836,0.33237281045421024,3.945925278241193
Curve00420,0.26477382529632126,0.2824776039515544,0.35030686028334307,2.9120709579020887
Curve01901,0.24788756543634877,0.28051061030888197,0.34593503257252467,2.80327277807577
Curve02392,0.2601494327532813,0.23384891178511374,0.3340402048658374,2.8911203285481486
Curve00094,0.19787909444051588,0.617760850264391,0.33430538003274074,4.062292558775387
Curve01327,0.2618259112202877,0.23388985932887757,0.33492960984722686,3.0836944248987512
Curve00588,0.23911379642620004,0.2899896430553827,0.3202564244344863,3.360836095626636
Curve01079,0.4468227640354596,0.22923790263279364,0.3772450125845556,1.8946923438529348
Curve00338,0.22841939681897108,0.34692968835524624,0.3412635622424452,3.673581672963889
Curve01737,0.31940378973093914,0.3800700233234666,0.36062742731839686,2.3124451171703995
Curve00751,0.2730404069303225,0.5000179550615609,0.3696470586172361,2.5023157819464457
Curve02476,0.290500881272152,0.19238061390685912,0.3410143452358065,2.4103351461422293
Curve00259,0.2412863981736691,0.2375473457470251,0.3237657068177339,3.5256174663816062
Curve02063,0.25897842622359446,0.22388092627235534,0.3296640344600646,2.9057871454473694
Curve01490,0.22364041204155496,0.20044647378185595,0.3266808482470051,3.4217961606826375
Curve01246,0.30165633432876593,0.22176534858062355,0.34597901393184993,2.4778836508667315
Curve02310,0.25925103234437374,0.22414076213637824,0.3548107535165799,3.0370230947192
Curve01983,0.22693425400758555,0.40136544653827594,0.34435009658067856,3.41183254854256
Curve01164,0.25596813913507155,0.37936268878891033,0.35057979836729886,2.9054397192324077
Curve02556,0.296167439980636,0.17069366471595024,0.341271244114354,2.5027709669867093
Curve01816,0.2218202115292011,0.3038093548712882,0.3350238214216802,4.03100818719183
Curve02147,0.2603098749630353,0.2136954455278064,0.33056039897615214,2.7406490076167107
Curve00500,0.26908999452161564,0.06949339279201332,0.30999994065275055,5.1939376043421825
Curve01572,0.2636406173724,0.24629666255753882,0.337463375128318,2.7224499436426335
Curve00179,0.19982063612177448,0.7459791634162612,0.327513400540804,4.180910800944091
Curve01653,0.30718281881822307,0.1671489331768823,0.33529445586430406,2.2349396002321837
Curve01328,0.24003839232044022,0.3183359467908948,0.3408849796648592,3.3502265677233414
Curve02477,0.26521657385577224,0.21878862209372435,0.33657565972246434,2.798678608358465
Curve00095,0.20005381575850434,0.56949023822252,0.3322718089331869,3.8580154375435396
Curve02393,0.25537503296398223,0.24125950769597065,0.33540101021062585,2.956618592265378
Curve01984,0.22805508041306075,0.43138852573469816,0.3624918725138131,3.6973056176378356
Curve01411,0.24820086314476056,0.30210161706715094,0.40851757685963075,3.0256703509716885
Curve02227,0.28068818681382784,0.2001362284491281,0.3344830248143184,2.657612840943509
Curve00421,0.27373847238877913,0.2782325401204012,0.3586893852598653,2.494351770656322
Curve00260,0.2425761452518881,0.2714991540438299,0.3282097513890356,3.3317345713364968
Curve00589,0.18058284340611025,0.2684356535858362,0.3240108025587135,2.8661464203763227
Curve00834,0.28863067526466757,0.2025491488191574,0.34833898697457966,2.518493367505459
Curve01247,0.32515237716340833,0.19597700676162685,0.3557002773799311,2.3697971925941683
Curve02148,0.266062319522909,0.2131668477714173,0.33415478120042347,2.9478333895237596
Curve01902,0.23640161621021283,0.31342433022317306,0.33481989676920615,3.4162676998160095
Curve00752,0.2314776017402727,0.297156910644005,0.3236001894491373,3.8081421836755727
Curve00916,0.3277483184235372,0.15203458552535404,0.34875945040168527,2.103031970341259
Curve01329,0.2469098337513273,0.2712770295491931,0.32263994125678414,3.200899224770523
Curve00999,0.29078751492031757,0.05056813569336907,0.29004626684477613,3.1703317946492486
Curve01080,0.24992202221843804,0.2525421040159389,0.3299724322011413,2.924569156391526
Curve01491,0.2641917328310871,0.15528722400091785,0.3354672036135292,2.603212850661477
Curve01412,0.25870068742356894,0.2729924010143611,0.3843210199820541,2.844536631554324
Curve01985,0.22734856248377913,0.41499177303197216,0.3549774547035043,3.4704572835445675
Curve00180,0.20421396747278878,0.6237132146116089,0.3336415314609253,3.797083397104277
Curve00004,5.773696225634025e-10,1.153859217618001e-6,0.08160543545649306,0.000861523118470106
Curve01165,0.23235895473690235,0.3994249008976867,0.3336603367627561,3.2506458444605384
Curve02064,0.2788986154414628,0.20672057209231143,0.3324935809036586,2.52091048589166
Curve00668,0.23184066490182803,0.0697249803992103,0.38416047903434497,2.547737784854631
Curve01654,0.3195952050196619,0.17437655111896924,0.35434566473070145,2.2187673565718278
Curve02311,0.2726650052532252,0.21227793668098371,0.33970405430834444,2.6707447835498477
Curve02557,0.25677894913782817,0.25939810759879156,0.344093279263802,3.1232283899143574
Curve00339,0.23025984308926317,0.36587950566964644,0.3438614840994137,3.258933667630322
