label,gr,lag_loglin,N_max_emp
Cond00204,0.1731055633996542,8.795984188454275,0.20611904761904762
Cond00205,0.1869448603522865,8.24125372593715,0.21819047619047616
Cond00206,0.19035992556659895,7.777613875765769,0.25505952380952385
Cond00207,0.17089546915013729,8.907698752125787,0.20098809523809522
Cond00208,0.1713730767065582,9.132082678560822,0.20022619047619047
Cond00209,0.17016976155286515,8.811300233205115,0.20521428571428568
Cond00210,0.17354500759815963,8.883706771635312,0.20927380952380947
Cond00211,0.1368541039342552,8.403722821628536,0.18752380952380945
Cond00212,0.12930200939097844,8.315260214321446,0.1817619047619047
Cond00213,0.13410244245205225,8.311943860367096,0.18660714285714283
Cond00214,0.1321503792613726,8.255440572026258,0.1932380952380952
Cond00215,0.13977951725318538,9.496437520222402,0.1935595238095238
Cond00216,0.13753783850768994,8.988070429505514,0.1878333333333333
Cond00217,0.13165483501477232,8.41684004075836,0.186297619047619
Cond00218,0.14006273652136558,8.338544754412487,0.1944880952380952
Cond00219,0.17467975409773684,8.690708886779104,0.21088095238095236
Cond00220,0.16308643217842456,8.864283979319898,0.20180952380952377
Cond00221,0.15348066750599174,9.211680461082254,0.20490476190476184
Cond00222,0.15959002155536783,18.65239405342808,0.20080952380952377
Cond00223,0.17353372155528743,8.537653330005188,0.2104285714285714
Cond00224,0.17155979500736074,8.079602011564527,0.20872619047619045
Cond00225,0.18891497277020786,7.524760253610018,0.22316666666666665
Cond00226,0.19078054107888956,9.174455824560406,0.22861904761904758
Cond00227,0.13550109033475707,8.802877113369659,0.20730952380952375
Cond00228,0.13871657434021425,8.378653778035142,0.21007142857142855
Cond00229,0.13896140451493544,7.6033741996478845,0.21432142857142852
Cond00230,0.15487063915813962,6.896707676566199,0.23403571428571424
Cond00231,0.11782913137629236,9.363183925403602,0.1869523809523809
Cond00232,0.11368404426160578,8.333250087542206,0.19044047619047613
Cond00233,0.11059789421205789,8.03973291373871,0.1933095238095238
Cond00234,0.1377836206077126,8.447127382644908,0.20988095238095236
Cond00235,0.13071343567719831,7.975820005735719,0.20328571428571426
Cond00236,0.13448211077403507,7.825857620518792,0.20463095238095233
Cond00237,0.13526404419700336,7.913448257156678,0.2028928571428571
Cond00238,0.13858891173192597,8.022903959537587,0.20354761904761898
Cond00239,0.12177322324255117,11.85935830047228,0.19004761904761902
Cond00240,0.1282716752539819,10.304161958889823,0.1929761904761904
Cond00241,0.13192517010794622,8.058198287207874,0.20326190476190473
Cond00242,0.129440767283625,8.187186151741207,0.20434523809523808
Cond00243,0.15349736950405965,9.078208600438856,0.18502380952380948
Cond00244,0.15029680809820364,8.83714890971361,0.1855238095238095
Cond00245,0.16205492161151017,8.64370285404454,0.19132142857142853
Cond00246,0.17876501909424766,11.707534594884068,0.19866666666666663
Cond00247,0.17670129462528963,9.070769003464253,0.20660714285714285
Cond00248,0.1718196617050629,8.623328158020152,0.2045
Cond00249,0.16826816080606785,8.763669172253806,0.20533333333333328
Cond00250,0.17039206451035793,8.194768304770248,0.2081666666666666
Cond00251,0.1356934621994987,7.9164030126820135,0.20115476190476186
Cond00252,0.13198336643079608,8.180444822570095,0.19452380952380952
Cond00253,0.13185191724862957,8.043246712876547,0.1873571428571428
Cond00254,0.1365126853986268,8.161409348197369,0.19205952380952376
Cond00255,0.1430070427507014,7.989050838093584,0.18772619047619044
Cond00256,0.13635082225508324,7.870474288105769,0.19133333333333327
Cond00257,0.1378192114880922,7.861822746983347,0.19309523809523807
Cond00258,0.13455095683476706,7.787417833973126,0.18960714285714284
Cond00259,0.13532951900449766,7.951293167756912,0.2058690476190476
Cond00260,0.13696426651041968,7.425002816287397,0.20869047619047618
Cond00261,0.15329988193191435,6.942384251723982,0.2310833333333333
Cond00262,0.1710780931169716,6.901459294899385,0.2907738095238095
Cond00263,0.1365684983534781,8.22448368530887,0.20694047619047615
Cond00264,0.14307473633065984,8.099632952182894,0.20605952380952375
