condition,gr,exit_lag_rate,N_max
Cond00216,0.20745176065765084,0.06368914925483388,0.19380775351749302
Cond00217,0.2137240091759417,0.09269908408327938,0.19197059651594148
Cond00218,0.23469364656632175,0.0570535563669324,0.19889832005295682
Cond00219,0.18612730058783356,0.1068790949131839,0.2040622026715878
Cond00220,0.17461225993087637,0.10270833526369012,0.19566788961623555
Cond00221,0.17723508144293235,0.06700316369762846,0.20004135556406066
Cond00222,0.24567434223602755,0.005988366660712608,0.2016142553579833
Cond00223,0.17448146126324232,0.11461034427908975,0.20330763716469574
Cond00224,0.18089127462880714,0.12685899315544763,0.20250033991494468
Cond00225,0.17473622425423016,0.20288410059694842,0.2187308575187362
Cond00226,0.24339901736624464,0.06495429408847353,0.2244887984456667
Cond00227,0.2861577425085353,0.03893227405401342,0.20021149981924194
Cond00228,0.2895770132529891,0.03732518762296946,0.20086360502286596
Cond00229,0.28746415976763545,0.054729557516978944,0.20814478860245367
Cond00230,0.27116296803150264,0.0993865590848321,0.22960376640379698
Cond00231,0.2866323410758812,0.065922943221554,0.19744440658962048
Cond00232,0.19183175295544297,0.08003645355007404,0.18919613428798526
Cond00233,0.18284631984944413,0.07687125369253715,0.18901406846464433
Cond00234,0.29707876165606534,0.03853341370882264,0.20751282130535303
Cond00235,0.26038651353503567,0.05036588304889393,0.19738133477480557
Cond00236,0.23897572720159163,0.06692255922864476,0.19892719975421938
Cond00237,0.26844531865526583,0.053978101135948364,0.19717758709027777
Cond00238,0.26297223985849144,0.05234855441672983,0.19869870164369896
Cond00239,0.24052367676080288,0.013488731060518525,0.18600605176195448
Cond00240,0.1848542105335124,0.04775970542830945,0.19644093852030226
Cond00241,0.26769803122901475,0.04735524892961581,0.1975219583696128
Cond00242,0.26829041101635315,0.046139052968043784,0.1975479024134664
Cond00243,0.13964160153999827,0.10435161854407392,0.17949470201632703
Cond00244,0.1495340489695651,0.11473155715687024,0.17968189994927056
Cond00245,0.15101173660685518,0.12036674101047165,0.18431426044142357
Cond00246,0.2159703509702155,0.02793503910476654,0.1924600343629569
Cond00247,0.18230025816887985,0.09355642987151584,0.2002616463384147
Cond00248,0.18050804312446111,0.11440379499453036,0.19814460344190626
Cond00249,0.18908990173172288,0.0833471143720571,0.19869518540228068
Cond00250,0.17200257811025363,0.12205128777429995,0.2005363245948071
Cond00251,0.21823276519495924,0.08161640920911496,0.20335270598777475
Cond00252,0.18102831979147094,0.10858516290936662,0.19856641935484745
Cond00253,0.18488739653048022,0.09641077903931895,0.19482070022739886
Cond00254,0.19725759325146566,0.08481390544622254,0.19857990479971402
Cond00255,0.2434983439121926,0.06938116186060835,0.1955574417057411
Cond00256,0.2037964846732302,0.09114947591417846,0.19809168238892064
Cond00257,0.2153551030270396,0.07905081546422232,0.20105135862273707
Cond00258,0.22896869787830917,0.07912503576310662,0.19846383935541792
Cond00259,0.28110477528798117,0.044376067552064226,0.19566721881064644
Cond00260,0.2585531534000081,0.06621960795692647,0.19831299840323577
Cond00261,0.26864573960737675,0.11168385057735655,0.2244212383361178
Cond00262,0.2909620340955311,0.11764699023415243,0.28684519905162764
Cond00263,0.30289170243193586,0.03943427357317133,0.19652201090469446
Cond00264,0.31961504257148005,0.03406974742197182,0.19572429625105706
Cond00265,0.3521387031891782,0.03464448021369727,0.195096401094905
Cond00266,0.256155468037692,0.05297770521565903,0.20398065041469524
Cond00267,0.3037053096495033,0.033619430963179237,0.18987695260791787
Cond00268,0.26393891491916704,0.052749024124445855,0.19557380420159048
Cond00269,0.31206371681093437,0.034974730864259375,0.20315948095340428
Cond00270,0.3013525885599564,0.03684794388631252,0.20886219082696558
Cond00271,0.2982861022491366,0.030485023021555424,0.1845163282861375
Cond00272,0.2936669165481681,0.03838322267796663,0.18687614335330882
Cond00273,0.25946558576308504,0.0562099435226637,0.18757270668019413
Cond00274,0.3111078907333384,0.0357931950320566,0.20748621554532842
